observation_date,ECBASSETSW
2012-03-09,3005782.0000000000
2012-03-16,2986294.0000000000
2012-03-23,2982849.0000000000
2012-03-30,2964427.0000000000
2012-04-06,2965333.0000000000
2012-04-13,2974859.0000000000
2012-04-20,2967109.0000000000
2012-04-27,2962103.0000000000
2012-05-04,2960317.0000000000
2012-05-11,2971515.0000000000
2012-05-18,2975261.0000000000
2012-05-25,2980310.0000000000
2012-06-01,3002593.0000000000
2012-06-08,3009684.0000000000
2012-06-15,3027305.0000000000
2012-06-22,3057892.0000000000
2012-06-29,3102227.0000000000
2012-07-06,3085006.0000000000
2012-07-13,3099646.0000000000
2012-07-20,3079749.0000000000
2012-07-27,3094144.0000000000
2012-08-03,3085214.0000000000
2012-08-10,3086822.0000000000
2012-08-17,3085845.0000000000
2012-08-24,3080452.0000000000
2012-08-31,3084769.0000000000
2012-09-07,3073494.0000000000
2012-09-14,3061012.0000000000
2012-09-21,3049539.0000000000
2012-09-28,3082432.0000000000
2012-10-05,3062589.0000000000
2012-10-12,3053641.0000000000
2012-10-19,3046569.0000000000
2012-10-26,3046543.0000000000
2012-11-02,3040693.0000000000
2012-11-09,3038871.0000000000
2012-11-16,3041305.0000000000
2012-11-23,3035280.0000000000
2012-11-30,3033294.0000000000
2012-12-07,3030422.0000000000
2012-12-14,3024812.0000000000
2012-12-21,3011200.0000000000
2012-12-28,3018198.0000000000
2013-01-04,2956165.0000000000
2013-01-11,2952532.0000000000
2013-01-18,2942211.0000000000
2013-01-25,2928781.0000000000
2013-02-01,2769695.0000000000
2013-02-08,2767571.0000000000
2013-02-15,2755725.0000000000
2013-02-22,2748823.0000000000
2013-03-01,2680619.0000000000
2013-03-08,2665947.0000000000
2013-03-15,2647844.0000000000
2013-03-22,2642700.0000000000
2013-03-29,2648126.0000000000
2013-04-05,2647097.0000000000
2013-04-12,2634454.0000000000
2013-04-19,2617263.0000000000
2013-04-26,2611252.0000000000
2013-05-03,2608120.0000000000
2013-05-10,2606277.0000000000
2013-05-17,2577406.0000000000
2013-05-24,2560202.0000000000
2013-05-31,2549449.0000000000
2013-06-07,2546600.0000000000
2013-06-14,2550684.0000000000
2013-06-21,2545321.0000000000
2013-06-28,2430423.0000000000
2013-07-05,2420347.0000000000
2013-07-12,2403333.0000000000
2013-07-19,2398959.0000000000
2013-07-26,2396181.0000000000
2013-08-02,2391090.0000000000
2013-08-09,2379322.0000000000
2013-08-16,2368521.0000000000
2013-08-23,2360832.0000000000
2013-08-30,2360639.0000000000
2013-09-06,2356675.0000000000
2013-09-13,2350127.0000000000
2013-09-20,2346591.0000000000
2013-09-27,2338044.0000000000
2013-10-04,2350580.0000000000
2013-10-11,2340421.0000000000
2013-10-18,2327962.0000000000
2013-10-25,2318744.0000000000
2013-11-01,2314393.0000000000
2013-11-08,2305431.0000000000
2013-11-15,2299017.0000000000
2013-11-22,2293601.0000000000
2013-11-29,2290956.0000000000
2013-12-06,2280794.0000000000
2013-12-13,2283020.0000000000
2013-12-20,2287531.0000000000
