date,Meeting_ECB,Meeting_FED,EUR/USD,VIX,surprise_index,cip,sov_diff2Y,BS,Money_mkt,d_rate
2008-12-31,0.0,1.0,1.3549387096774195,41.24548387096774,-0.5429266862170088,68.76366873892964,1.8792774193548385,-1.4562732975260189,1.306152903225807,1.6693548387096775
2009-01-31,0.0,1.0,1.329398387096774,40.773709677419355,-0.6935967741935484,14.186065171957853,1.5665698924731182,-1.2973700924891227,1.4608172580645162,1.5201612903225807
2009-02-28,0.0,0.0,1.2804821428571427,41.543035714285715,-0.5766785714285715,28.489420847966954,0.9990767857142858,-1.258718841268669,0.9146519642857143,0.875
2009-03-31,0.0,1.0,1.3067951612903226,39.55661290322581,-0.3797990074441687,34.43889438578712,0.8461301075268818,-1.3186750841242512,0.5930266129032256,0.5362903225806451
2009-04-30,0.0,0.0,1.31984,35.42483333333334,0.06495064102564099,31.21270460153611,0.79192,-1.3544923641798887,0.5060063333333332,0.18333333333333335
2009-05-31,0.0,0.0,1.3683774193548386,32.163548387096775,0.16867741935483868,18.857143688949844,0.6912677419354839,-1.4228135961437278,0.5173040322580645,0.125
2009-06-30,0.0,0.0,1.3997333333333333,30.10216666666667,0.15686944444444442,5.540398296474001,0.41029,-1.4433480471398668,0.5678670000000002,0.125
2009-07-31,0.0,0.0,1.407725806451613,27.598387096774193,0.5850537634408602,-2.035546462148545,0.512309677419355,-1.431883177446863,0.38061822580645166,0.125
2009-08-31,0.0,0.0,1.4259209677419356,28.023548387096774,0.3944838709677419,1.1737650102420423,0.29007419354838704,-1.4959291543160869,0.29706548387096765,0.125
2009-09-30,0.0,0.0,1.4559266666666666,27.442999999999998,0.2542888888888889,6.316776094035181,0.39086333333333323,-1.5290001275118077,0.3168018333333334,0.125
2009-10-31,0.0,0.0,1.4806725806451613,26.74274193548387,0.3667075268817204,18.794288883656304,0.3826139784946237,-1.510132808807591,0.2964119892473119,0.125
2009-11-30,0.0,0.0,1.491805,26.070333333333334,0.25770222222222217,19.646585980081507,0.5650488888888889,-1.5833695956813612,0.2832784444444444,0.125
2009-12-31,0.0,0.0,1.4562645161290322,24.848064516129032,0.19412365591397845,18.48539305179482,0.4758580645161291,-1.6435235496189846,0.28255370967741933,0.125
2010-01-31,0.0,0.0,1.4257032258064517,22.763870967741934,-0.1551612903225806,19.37509097888854,0.5074451612903226,-1.6137328766636363,0.3941584677419354,0.125
2010-02-28,0.0,0.0,1.3666285714285713,21.280357142857145,-0.02901136363636362,17.8092142378081,0.7152196428571428,-1.608589400105149,0.36513124999999996,0.125
2010-03-31,0.0,0.0,1.3574435483870968,18.96532258064516,-0.08321114369501463,16.87702404347985,0.5411419354838709,-1.603816384028119,0.33845508064516133,0.125
2010-04-30,0.0,0.0,1.343625,20.202333333333332,0.2634454545454545,10.093453432487623,0.5094933333333332,-1.6196104014305788,0.31826183333333335,0.125
2010-05-31,0.0,0.0,1.2566612903225807,29.253870967741936,0.24845014662756598,26.492666822261825,0.9628870967741934,-1.593742144606583,0.26321209677419355,0.125
2010-06-30,0.0,0.0,1.22038,25.522499999999997,0.14780151515151516,26.24171746889722,1.1041466666666666,-1.447447462471302,0.27478516666666675,0.125
2010-07-31,0.0,0.0,1.279917741935484,24.229193548387098,0.07716129032258065,10.229757989631121,1.1873860215053762,-1.4169948922030227,0.4122056451612903,0.125
2010-08-31,0.0,1.0,1.2891806451612902,24.274516129032257,-0.17493548387096772,8.68915294067659,1.2187236559139785,-1.4157485717899647,0.5634585483870967,0.125
2010-09-30,0.0,1.0,1.3071783333333333,22.4745,-0.18729333333333334,12.80466082957438,1.275945,-1.4004409163339782,0.5685985,0.125
2010-10-31,0.0,1.0,1.3904693548387097,21.110967741935486,-0.2116354838709677,14.498251909230905,1.3379,-1.4022890174676281,0.6897766129032257,0.125
2010-11-30,0.0,1.0,1.36338,21.153000000000002,0.06411666666666667,18.923893121925712,1.3455933333333334,-1.4298996369806172,0.7323551666666667,0.125
2010-12-31,0.0,0.0,1.3229870967741935,18.773548387096774,0.08104838709677417,5.347277162440047,1.5053451612903226,-1.4283400625124785,0.7048970967741937,0.125
2011-01-31,0.0,0.0,1.3373870967741934,19.546451612903223,0.3855,-0.8857373227292972,1.6459129032258066,-1.4067963458053254,0.704375806451613,0.125
2011-02-28,0.0,0.0,1.3655375,20.563035714285714,0.3554285714285714,1.4235380894936915,1.5995000000000001,-1.4647435647607367,0.76393125,0.125
2011-03-31,0.0,0.0,1.4026548387096776,21.788709677419355,0.3883024193548387,10.274258080235937,1.9443225806451612,-1.4862554002024575,0.8627870967741935,0.125
2011-04-30,0.0,0.0,1.4462000000000002,18.983333333333334,0.4758337962962963,-11.363575615774952,2.3319583333333336,-1.5486672278486684,1.0303545,0.275
2011-05-31,0.0,0.0,1.4309548387096773,19.674193548387095,0.051641577060931886,2.4352352759081355,2.893087096774194,-1.5690469336534671,1.140457258064516,0.375
2011-06-30,0.0,0.0,1.4393766666666667,21.02733333333333,-0.058825925925925955,8.851390915504409,3.1562449999999997,-1.5578386277632772,1.2086298333333334,0.375
2011-07-31,0.0,0.0,1.430616129032258,21.301290322580645,-0.2905645161290323,-2.051456217194823,3.447548387096774,-1.5866015036026186,1.313058064516129,0.5282258064516129
2011-08-31,1.0,1.0,1.434764516129032,31.956774193548387,-0.3383986175115207,-3.4959655970704535,3.9448161290322585,-1.5627229023367124,1.2269095161290324,0.625
2011-09-30,0.0,0.0,1.3755516666666667,32.537333333333336,-0.26062142857142856,-0.773678112393076,4.619420000000001,-1.4128941487465487,1.1879108333333332,0.625
2011-10-31,1.0,0.0,1.3718951612903227,28.486290322580647,-0.14145483870967737,2.9434925760229613,5.616241935483871,-1.2452480882450356,1.1948727419354839,0.625
